,,,,,,,,,,,,,,,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL,TL,non-TL
,1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01,,,100%,100%,90%,90%,80%,80%,70%,70%,60%,60%,50%,50%,40%,40%,30%,30%,20%,20%,10%,10%,5%,5%,1%,1%
"CFG,CWE,25_789","(0.46923078000545504, 0.41538462191820147)","(0.5615384742617607, 0.44615385830402376)","(0.5076923251152039, 0.5153846308588982)","(0.4769230857491493, 0.4692307785153389)","(0.5307692468166352, 0.561538478732109)","(0.5692307814955712, 0.43846154808998106)","(0.45384616404771805, 0.6000000149011612)","(0.4461538553237915, 0.515384629368782)","(0.48461540043354034, 0.5000000149011612)","(0.46923078447580335, 0.5769230961799622)","(0.3923077031970024, 0.5461538583040237)","(0.4692307814955711, 0.5076923206448555)",,,0.469 ,0.415 ,0.562 ,0.446 ,0.508 ,0.515 ,0.477 ,0.469 ,0.531 ,0.562 ,0.569 ,0.438 ,0.454 ,0.600 ,0.446 ,0.515 ,0.485 ,0.500 ,0.469 ,0.577 ,0.392 ,0.546 ,0.469 ,0.508 
"CFG,CWE,28_121","(0.5000000059604645, 0.4923076957464218)","(0.5000000059604645, 0.4615384668111801)","(0.5000000059604645, 0.5230769276618957)","(0.5000000089406967, 0.4769230842590332)","(0.5, 0.484615395963192)","(0.5000000089406967, 0.5384615421295166)","(0.5000000074505806, 0.5307692408561706)","(0.5000000029802323, 0.5269230902194977)","(0.5000000119209289, 0.4846153885126114)","(0.5000000029802323, 0.4846153885126114)","(0.5000000059604645, 0.5538461655378342)","(0.5000000059604645, 0.5192307740449905)",,,0.500 ,0.492 ,0.500 ,0.462 ,0.500 ,0.523 ,0.500 ,0.477 ,0.500 ,0.485 ,0.500 ,0.538 ,0.500 ,0.531 ,0.500 ,0.527 ,0.500 ,0.485 ,0.500 ,0.485 ,0.500 ,0.554 ,0.500 ,0.519 
"CFG,CWE,28_122","(0.5, 0.48703703880310056)","(0.5, 0.492592591047287)","(0.5, 0.5092592597007751)","(0.5, 0.5129629641771316)","(0.5, 0.5203703790903091)","(0.5, 0.5148148238658905)","(0.5000000029802323, 0.4685185194015503)","(0.5, 0.5203703701496124)","(0.5000000029802323, 0.49074074625968933)","(0.4999999970197678, 0.5055555582046509)","(0.5000000059604645, 0.5018518537282943)","(0.5000000059604645, 0.5074074119329453)",,,0.500 ,0.487 ,0.500 ,0.493 ,0.500 ,0.509 ,0.500 ,0.513 ,0.500 ,0.520 ,0.500 ,0.515 ,0.500 ,0.469 ,0.500 ,0.520 ,0.500 ,0.491 ,0.500 ,0.506 ,0.500 ,0.502 ,0.500 ,0.507 
"CFG,CWE,28_124","(0.5000000119209289, 0.493137264251709)","(0.5003268137574196, 0.4774509906768799)","(0.4986928254365921, 0.4941176578402519)","(0.5000000089406967, 0.5343137383460999)","(0.5000000089406967, 0.4712418347597122)","(0.4986928224563599, 0.4990196168422699)","(0.5000000089406967, 0.5362745225429535)","(0.5000000119209289, 0.5267973989248276)","(0.4996732175350189, 0.4944444537162781)","(0.5000000149011612, 0.5267973899841308)","(0.5000000119209289, 0.4888889014720917)","(0.5000000119209289, 0.5101307362318039)",,,0.500 ,0.493 ,0.500 ,0.477 ,0.499 ,0.494 ,0.500 ,0.534 ,0.500 ,0.471 ,0.499 ,0.499 ,0.500 ,0.536 ,0.500 ,0.527 ,0.500 ,0.494 ,0.500 ,0.527 ,0.500 ,0.489 ,0.500 ,0.510 
"CFG,CWE,28_126","(0.5000000059604645, 0.5400000125169754)","(0.5000000156462192, 0.5044444531202317)","(0.5044444486498832, 0.4311111196875572)","(0.5011111199855804, 0.4588889002799988)","(0.5000000119209289, 0.47555556446313857)","(0.4988889008760452, 0.4233333386480808)","(0.4966666728258133, 0.5055555656552315)","(0.498888897895813, 0.4111111156642437)","(0.4944444462656975, 0.49888889491558075)","(0.4988889016211033, 0.5611111178994179)","(0.4988889053463936, 0.5522222369909286)","(0.5000000096857548, 0.5111111223697662)",,,0.500 ,0.540 ,0.500 ,0.504 ,0.504 ,0.431 ,0.501 ,0.459 ,0.500 ,0.476 ,0.499 ,0.423 ,0.497 ,0.506 ,0.499 ,0.411 ,0.494 ,0.499 ,0.499 ,0.561 ,0.499 ,0.552 ,0.500 ,0.511 
"CFG,CWE,28_127","(0.49999999850988386, 0.5397435814142227)","(0.5006410226225853, 0.5057692311704158)","(0.5006410256028175, 0.5314102590084075)","(0.5032051265239715, 0.5083333402872086)","(0.4999999970197678, 0.4352564141154289)","(0.5006410270929337, 0.5243589758872986)","(0.4987179547548294, 0.5474359035491944)","(0.5000000029802323, 0.4910256385803223)","(0.5000000014901161, 0.5147435903549195)","(0.49935898184776306, 0.4487179532647133)","(0.5000000059604645, 0.5506410241127014)","(0.4993589758872986, 0.5070512861013412)",,,0.500 ,0.540 ,0.501 ,0.506 ,0.501 ,0.531 ,0.503 ,0.508 ,0.500 ,0.435 ,0.501 ,0.524 ,0.499 ,0.547 ,0.500 ,0.491 ,0.500 ,0.515 ,0.499 ,0.449 ,0.500 ,0.551 ,0.499 ,0.507 
"CFG,CWE,28_134","(0.5066666767001152, 0.4800000086426735)","(0.5033333450555801, 0.41000000685453414)","(0.5066666737198829, 0.5833333373069763)","(0.49666666984558105, 0.5033333390951157)","(0.5000000104308129, 0.5533333420753479)","(0.5100000098347663, 0.48000000715255736)","(0.5000000059604645, 0.5366666734218597)","(0.5133333444595337, 0.4566666752099991)","(0.4966666758060455, 0.5766666769981384)","(0.49333334267139434, 0.3933333411812782)","(0.5033333465456963, 0.5200000137090683)","(0.5100000098347663, 0.590000006556511)",,,0.507 ,0.480 ,0.503 ,0.410 ,0.507 ,0.583 ,0.497 ,0.503 ,0.500 ,0.553 ,0.510 ,0.480 ,0.500 ,0.537 ,0.513 ,0.457 ,0.497 ,0.577 ,0.493 ,0.393 ,0.503 ,0.520 ,0.510 ,0.590 
"CFG,CWE,28_190","(0.4950000077486038, 0.5600000128149987)","(0.5050000086426735, 0.42000000923871994)","(0.5050000071525573, 0.41500000953674315)","(0.5050000071525573, 0.5300000086426735)","(0.5050000101327896, 0.5750000134110451)","(0.49000001400709153, 0.6350000143051148)","(0.5050000071525573, 0.41000000983476637)","(0.5000000089406967, 0.46500000953674314)","(0.5050000086426735, 0.4650000125169754)","(0.5050000101327896, 0.5100000068545342)","(0.5000000074505806, 0.5400000095367432)","(0.5050000086426735, 0.4550000071525574)",,,0.495 ,0.560 ,0.505 ,0.420 ,0.505 ,0.415 ,0.505 ,0.530 ,0.505 ,0.575 ,0.490 ,0.635 ,0.505 ,0.410 ,0.500 ,0.465 ,0.505 ,0.465 ,0.505 ,0.510 ,0.500 ,0.540 ,0.505 ,0.455 
"CFG,CWE,28_680","(0.49722222685813905, 0.4361111164093018)","(0.501388892531395, 0.48611111342906954)","(0.49722222685813905, 0.4972222238779068)","(0.4986111134290695, 0.4361111164093018)","(0.504166667163372, 0.45555555671453474)","(0.5027777791023255, 0.41388889253139494)","(0.4958333373069763, 0.5708333343267441)","(0.5000000029802323, 0.4833333373069763)","(0.5000000029802323, 0.5347222268581391)","(0.5013888910412788, 0.47916666939854624)","(0.5027777805924416, 0.5458333373069764)","(0.5000000029802323, 0.5000000029802323)",,,0.497 ,0.436 ,0.501 ,0.486 ,0.497 ,0.497 ,0.499 ,0.436 ,0.504 ,0.456 ,0.503 ,0.414 ,0.496 ,0.571 ,0.500 ,0.483 ,0.500 ,0.535 ,0.501 ,0.479 ,0.503 ,0.546 ,0.500 ,0.500 
"CFG,CWE,28_758","(0.49904763102531435, 0.48571429401636124)","(0.5000000119209289, 0.5490476280450821)","(0.4980952486395836, 0.49952381998300555)","(0.49904762804508207, 0.4228571534156799)","(0.5000000104308129, 0.5190476268529892)","(0.5009523898363113, 0.4990476340055466)","(0.5004762023687362, 0.4447619140148163)","(0.5004762023687362, 0.4719047725200653)","(0.5004762053489685, 0.41714286506175996)","(0.49857144355773925, 0.42952382266521455)","(0.502380958199501, 0.4847619146108627)","(0.5004762023687362, 0.48000000715255736)",,,0.499 ,0.486 ,0.500 ,0.549 ,0.498 ,0.500 ,0.499 ,0.423 ,0.500 ,0.519 ,0.501 ,0.499 ,0.500 ,0.445 ,0.500 ,0.472 ,0.500 ,0.417 ,0.499 ,0.430 ,0.502 ,0.485 ,0.500 ,0.480 
"CFG,CWE,28_761","(0.5015151560306549, 0.5068181872367858)","(0.4992424249649048, 0.4825757622718811)","(0.500757583975792, 0.5181818157434464)","(0.5000000119209289, 0.42575758695602417)","(0.4992424339056015, 0.43787879347801206)","(0.499242427945137, 0.5356060683727264)","(0.5015151530504227, 0.5265151560306549)","(0.4992424339056015, 0.5098484963178634)","(0.5015151590108872, 0.5121212229132652)","(0.4992424339056015, 0.47651515528559685)","(0.49924243092536924, 0.5106060653924942)","(0.5015151649713516, 0.489393949508667)",,,0.502 ,0.507 ,0.499 ,0.483 ,0.501 ,0.518 ,0.500 ,0.426 ,0.499 ,0.438 ,0.499 ,0.536 ,0.502 ,0.527 ,0.499 ,0.510 ,0.502 ,0.512 ,0.499 ,0.477 ,0.499 ,0.511 ,0.502 ,0.489 
"CFG,CWE,28_78","(0.5000136911869049, 0.41538462191820147)","(0.4999589711427689, 0.44615385830402376)","(0.5000684142112732, 0.5153846308588982)","(0.499986332654953, 0.4692307785153389)","(0.4999179244041443, 0.561538478732109)","(0.49991793632507325, 0.43846154808998106)","(0.5000136882066727, 0.6000000149011612)","(0.5000957697629929, 0.515384629368782)","(0.4999589741230011, 0.5000000149011612)","(0.5000273764133454, 0.5769230961799622)","(0.500177851319313, 0.5461538583040237)","(0.5000000059604645, 0.5076923206448555)",,,0.500 ,0.415 ,0.500 ,0.446 ,0.500 ,0.515 ,0.500 ,0.469 ,0.500 ,0.562 ,0.500 ,0.438 ,0.500 ,0.600 ,0.500 ,0.515 ,0.500 ,0.500 ,0.500 ,0.577 ,0.500 ,0.546 ,0.500 ,0.508 
"CFG,CWE,28_789","(0.500000013411045, 0.41538462191820147)","(0.5000000208616256, 0.44615385830402376)","(0.5000000149011612, 0.5153846308588982)","(0.5000000104308129, 0.4692307785153389)","(0.5000000089406967, 0.561538478732109)","(0.5000000193715095, 0.43846154808998106)","(0.5000000163912773, 0.6000000149011612)","(0.5000000178813935, 0.515384629368782)","(0.5000000149011612, 0.5000000149011612)","(0.5000000119209289, 0.5769230961799622)","(0.5000000149011612, 0.5461538583040237)","(0.5000000156462192, 0.5076923206448555)",,,0.500 ,0.415 ,0.500 ,0.446 ,0.500 ,0.515 ,0.500 ,0.469 ,0.500 ,0.562 ,0.500 ,0.438 ,0.500 ,0.600 ,0.500 ,0.515 ,0.500 ,0.500 ,0.500 ,0.577 ,0.500 ,0.546 ,0.500 ,0.508 
